iter	Passed	Remaining
1055	17093	2330
1056	17107	2314
1057	17122	2298
1058	17136	2281
1059	17150	2265
1060	17169	2249
1061	17187	2233
1062	17214	2218
1063	17238	2203
1064	17262	2188
1065	17279	2172
1066	17294	2155
1067	17308	2139
1068	17322	2122
1069	17338	2106
1070	17353	2090
1071	17371	2074
1072	17387	2057
1073	17401	2041
1074	17414	2024
1075	17429	2008
1076	17445	1992
1077	17462	1976
1078	17482	1960
1079	17497	1944
1080	17513	1927
1081	17532	1911
1082	17549	1895
1083	17568	1880
1084	17586	1863
1085	17604	1847
1086	17622	1831
1087	17636	1815
1088	17650	1799
1089	17665	1782
1090	17679	1766
1091	17696	1750
1092	17715	1734
1093	17730	1717
1094	17746	1701
1095	17763	1685
1096	17779	1669
1097	17799	1653
1098	17820	1637
1099	17838	1621
1100	17859	1605
1101	17874	1589
1102	17888	1573
1103	17902	1556
1104	17917	1540
1105	17931	1524
1106	17945	1507
1107	17963	1491
1108	17978	1475
1109	17993	1458
1110	18008	1442
1111	18021	1426
1112	18036	1409
1113	18050	1393
1114	18063	1377
1115	18079	1360
1116	18098	1344
1117	18115	1328
1118	18132	1312
1119	18150	1296
1120	18167	1280
1121	18196	1265
1122	18214	1248
1123	18233	1232
1124	18253	1216
1125	18269	1200
1126	18284	1184
1127	18362	1172
1128	18390	1156
1129	18407	1140
1130	18421	1123
1131	18434	1107
1132	18450	1091
1133	18468	1074
1134	18483	1058
1135	18500	1042
1136	18516	1025
1137	18530	1009
1138	18543	993
1139	18556	976
1140	18569	960
1141	18582	943
1142	18595	927
1143	18609	910
1144	18623	894
1145	18638	878
1146	18652	861
1147	18664	845
1148	18680	829
1149	18697	812
1150	18714	796
1151	18728	780
1152	18743	764
1153	18757	747
1154	18775	731
1155	18791	715
1156	18806	698
1157	18821	682
1158	18835	666
1159	18849	649
1160	18863	633
1161	18879	617
1162	18893	601
1163	18907	584
1164	18923	568
1165	18936	552
1166	18953	535
1167	18968	519
1168	18981	503
1169	18994	487
1170	19007	470
1171	19020	454
1172	19035	438
1173	19049	421
1174	19063	405
1175	19078	389
1176	19091	373
1177	19104	356
1178	19118	340
1179	19130	324
1180	19142	307
1181	19155	291
1182	19168	275
1183	19186	259
1184	19200	243
1185	19213	226
1186	19230	210
1187	19246	194
1188	19263	178
1189	19280	162
1190	19295	145
1191	19312	129
1192	19326	113
1193	19341	97
1194	19358	80
1195	19377	64
1196	19397	48
1197	19414	32
1198	19443	16
1199	19463	0
